,Forecast
2020-05-04,335.16390483160285
2020-05-05,332.16557652850497
2020-05-06,329.5689241605287
2020-05-07,327.32823427098083
2020-05-08,325.5867473781982
2020-05-09,324.0269018135841
2020-05-10,322.77991101304724
2020-05-11,321.7563588528119
2020-05-12,320.8861463452504
2020-05-13,320.1641071919621
2020-05-14,319.5875000917549
2020-05-15,319.1270518640413
2020-05-16,318.75867068872867
2020-05-17,318.4637699412506
2020-05-18,318.2045399989829
2020-05-19,317.9745644096847
2020-05-20,317.76849612982187
2020-05-21,317.57925597499707
2020-05-22,317.40228389611184
