,Forecast
2020-05-04,2074.901678210241
2020-05-05,2065.170322280843
2020-05-06,2055.2943832970923
2020-05-07,2045.4089751414722
2020-05-08,2035.588731179363
2020-05-09,2025.9159212050727
2020-05-10,2016.5071280335542
2020-05-11,2007.3542061406188
2020-05-12,1998.5161087575834
2020-05-13,1989.9195770762744
2020-05-14,1981.6424517622218
2020-05-15,1973.571764576831
2020-05-16,1965.8315820354037
2020-05-17,1958.3982821177924
2020-05-18,1951.2522137468914
2020-05-19,1944.3685330739245
2020-05-20,1937.7093634114135
2020-05-21,1931.303061365441
2020-05-22,1925.211482010316
