,Forecast
2020-05-04,154.4165367376936
2020-05-05,155.97125342847357
2020-05-06,157.2439681846563
2020-05-07,158.30535473130476
2020-05-08,159.1889297996422
2020-05-09,159.92820134917474
2020-05-10,160.5471863414541
2020-05-11,161.06609481278974
2020-05-12,161.4991720318303
2020-05-13,161.85749667733398
2020-05-14,162.15766483814514
2020-05-15,162.41084291019342
2020-05-16,162.62310969346254
2020-05-17,162.7996580445042
2020-05-18,162.94911933299227
2020-05-19,163.07384437912242
2020-05-20,163.17570155864723
2020-05-21,163.25593645540175
2020-05-22,163.32205765926483
