,Forecast
2020-05-04,23.192750576377875
2020-05-05,23.184043997092886
2020-05-06,23.175040273749914
2020-05-07,23.166316640979858
2020-05-08,23.157228166983828
2020-05-09,23.148852321954678
2020-05-10,23.1414164856933
2020-05-11,23.135100494951303
2020-05-12,23.129834068699324
2020-05-13,23.124423979754965
2020-05-14,23.11945056338277
2020-05-15,23.115021308215887
2020-05-16,23.110830285067664
2020-05-17,23.106948808512016
2020-05-18,23.103427005459594
2020-05-19,23.099963080901944
2020-05-20,23.096287279711646
2020-05-21,23.0926636725211
2020-05-22,23.08963383667424
