,Forecast
2020-05-04,-0.0017279177477859454
2020-05-05,-0.0017543953918596838
2020-05-06,-0.0017812718182965673
2020-05-07,-0.0018002929845990425
2020-05-08,-0.001813543092929208
2020-05-09,-0.0018226774663038937
2020-05-10,-0.001829088080896342
2020-05-11,-0.0018334596384998775
2020-05-12,-0.0018362586392374253
2020-05-13,-0.0018384030349637723
2020-05-14,-0.0018396144304442701
2020-05-15,-0.0018403743741929055
2020-05-16,-0.0018409311646622026
2020-05-17,-0.0018412923260476925
2020-05-18,-0.0018414127131761893
2020-05-19,-0.0018416309148465895
2020-05-20,-0.0018416685358242446
2020-05-21,-0.0018417663503661483
2020-05-22,-0.0018419695036454864
