,Forecast
2020-05-04,1294.9067907987044
2020-05-05,1295.4864209431687
2020-05-06,1295.912274132657
2020-05-07,1296.2237027375375
2020-05-08,1296.4490707355287
2020-05-09,1296.5855326475428
2020-05-10,1296.6884239605276
2020-05-11,1296.7560797665062
2020-05-12,1296.7966732500934
2020-05-13,1296.828942193795
2020-05-14,1296.8454701893495
2020-05-15,1296.8346331519713
2020-05-16,1296.819073830149
2020-05-17,1296.8062691742523
2020-05-18,1296.7812955545958
2020-05-19,1296.7644648485
2020-05-20,1296.7329829522057
2020-05-21,1296.7407020710086
2020-05-22,1296.7503585372758
