,Forecast
2020-05-04,91.2883314626697
2020-05-05,91.08971490371823
2020-05-06,90.92325033862517
2020-05-07,90.78491853588639
2020-05-08,90.66959465015361
2020-05-09,90.57453973217252
2020-05-10,90.49665806317944
2020-05-11,90.43303045099083
2020-05-12,90.3810182877769
2020-05-13,90.33624371434962
2020-05-14,90.29957821456264
2020-05-15,90.27034541288776
2020-05-16,90.2458212254669
2020-05-17,90.22557083946049
2020-05-18,90.20909254774597
2020-05-19,90.19442597619627
2020-05-20,90.18145777616519
2020-05-21,90.17036633240741
2020-05-22,90.16193393639924
