,Forecast
2020-05-04,268.5138355350932
2020-05-05,269.17837361771035
2020-05-06,269.81610062284744
2020-05-07,270.43333354132983
2020-05-08,271.0330098164013
2020-05-09,271.6141389643053
2020-05-10,272.2367664059084
2020-05-11,272.92841313623285
2020-05-12,273.64635657264444
2020-05-13,274.3850874149348
2020-05-14,275.1491202285524
2020-05-15,275.94276553079
2020-05-16,276.7623759608614
2020-05-17,277.6111652772215
2020-05-18,278.4969468238387
2020-05-19,279.4251958928953
2020-05-20,280.4187063638028
2020-05-21,281.45273739766253
2020-05-22,282.2583620270507
