,Forecast
2020-05-04,172.39269965799258
2020-05-05,172.07158422460452
2020-05-06,171.74395086485038
2020-05-07,171.396421947009
2020-05-08,171.03020777079428
2020-05-09,170.64684433119191
2020-05-10,170.26946805529042
2020-05-11,169.89571463667198
2020-05-12,169.5407791670932
2020-05-13,169.20132427525004
2020-05-14,168.87017260237417
2020-05-15,168.52762159498388
2020-05-16,168.21011695609104
2020-05-17,167.90549135368838
2020-05-18,167.61285616240457
2020-05-19,167.34270600766558
2020-05-20,167.07517749881845
2020-05-21,166.83004556607193
2020-05-22,166.61482934718333
