,Forecast
2020-05-04,369.18617716558765
2020-05-05,369.62895392792325
2020-05-06,370.06530991885575
2020-05-07,370.50115298083165
2020-05-08,370.93985378985144
2020-05-09,371.37479006670765
2020-05-10,371.7875238472998
2020-05-11,372.1846774108353
2020-05-12,372.5594452891937
2020-05-13,372.94483812451017
2020-05-14,373.314201929933
2020-05-15,373.68500376832344
2020-05-16,374.06077002625807
2020-05-17,374.4267448367891
2020-05-18,374.7946156525704
2020-05-19,375.15586418914427
2020-05-20,375.5308060969701
2020-05-21,375.9122878489925
2020-05-22,376.2792976768824
