,Forecast
2020-05-04,344.3301711768072
2020-05-05,340.9286828011427
2020-05-06,337.92978869973194
2020-05-07,335.2597828134012
2020-05-08,332.74827197465856
2020-05-09,330.39471577621043
2020-05-10,328.10996533351135
2020-05-11,325.97215071798564
2020-05-12,323.98498150512296
2020-05-13,322.16851688090446
2020-05-14,320.4798540018892
2020-05-15,318.929251447209
2020-05-16,317.5790300850904
2020-05-17,316.32616447082273
2020-05-18,315.1946615114639
2020-05-19,314.1778714494694
2020-05-20,313.2819219539815
2020-05-21,312.48794456695396
2020-05-22,311.7700363760787
