,Forecast
2020-05-04,271.6724684163728
2020-05-05,263.9957287434554
2020-05-06,257.8454219997984
2020-05-07,252.8543880802208
2020-05-08,248.77128342904686
2020-05-09,245.46175883552493
2020-05-10,242.8194704466368
2020-05-11,240.71566609652652
2020-05-12,239.03904915144082
2020-05-13,237.71093885075967
2020-05-14,236.65838234491636
2020-05-15,235.82571118377925
2020-05-16,235.1662162157008
2020-05-17,234.57489244912173
2020-05-18,234.06069918252612
2020-05-19,233.61013706842274
2020-05-20,233.2130891461638
2020-05-21,232.82793997762198
2020-05-22,232.45416609816672
