,Forecast
2020-05-04,208.48936054038495
2020-05-05,207.67689573687858
2020-05-06,206.91587127027924
2020-05-07,206.2124757060592
2020-05-08,205.55521539017536
2020-05-09,204.94610667900088
2020-05-10,204.35748279588552
2020-05-11,203.79862236187546
2020-05-12,203.2722265336215
2020-05-13,202.77657062894286
2020-05-14,202.27596894448106
2020-05-15,201.8013685347596
2020-05-16,201.34287784021217
2020-05-17,200.9017100563924
2020-05-18,200.47798354384213
2020-05-19,200.06687511048221
2020-05-20,199.67214693067763
2020-05-21,199.28919985194625
2020-05-22,198.91434356168065
