,Forecast
2020-05-04,178334.91178761705
2020-05-05,182634.80714955812
2020-05-06,186181.38148919714
2020-05-07,187476.21698202402
2020-05-08,188691.88574387616
2020-05-09,189937.25690609877
2020-05-10,191400.1408383056
2020-05-11,192649.75877983044
2020-05-12,193997.04638162028
2020-05-13,195347.82912035804
2020-05-14,196888.77111106692
2020-05-15,198547.45787658903
2020-05-16,200277.93901432672
2020-05-17,201866.54765767575
2020-05-18,203303.9947598732
2020-05-19,204552.80468586707
2020-05-20,205437.82597602863
2020-05-21,206133.89064198598
2020-05-22,206667.04309131842
