,Forecast
2020-05-04,-0.012682517800264692
2020-05-05,-0.012684392804208064
2020-05-06,-0.012685043315780253
2020-05-07,-0.01268534943887305
2020-05-08,-0.012685387704259648
2020-05-09,-0.012685215510019951
2020-05-10,-0.012685081581166853
2020-05-11,-0.012684909386927155
2020-05-12,-0.012684545865754461
2020-05-13,-0.012684411936901363
2020-05-14,-0.012684297140741565
2020-05-15,-0.012684124946501868
2020-05-16,-0.012684067548421968
2020-05-17,-0.01268393361956887
2020-05-18,-0.01268391448687557
2020-05-19,-0.012683818823409073
2020-05-20,-0.012683799690715772
2020-05-21,-0.012683780558022472
2020-05-22,-0.012683780558022472
