,Forecast
2020-05-04,528.1984847049507
2020-05-05,528.1133631048497
2020-05-06,527.7974520771604
2020-05-07,527.3370039364727
2020-05-08,526.7737137795566
2020-05-09,526.1127228238529
2020-05-10,525.4064149515325
2020-05-11,524.6522813898237
2020-05-12,523.8676362043343
2020-05-13,523.083750717642
2020-05-14,522.321295803993
2020-05-15,521.5217039863564
2020-05-16,520.7605741287489
2020-05-17,520.0018647068437
2020-05-18,519.2437559770106
2020-05-19,518.5056820945238
2020-05-20,517.7652584459902
2020-05-21,517.0390040633929
2020-05-22,516.3194632980722
