,Forecast
2020-05-04,288.9487942524274
2020-05-05,290.660084348985
2020-05-06,292.4753859443044
2020-05-07,294.3963050094671
2020-05-08,295.91322996876073
2020-05-09,297.3608494592135
2020-05-10,298.64619480976575
2020-05-11,299.8609342812651
2020-05-12,301.0072139058647
2020-05-13,302.0894181267385
2020-05-14,303.13179284357733
2020-05-15,304.12930696113466
2020-05-16,305.07746944523564
2020-05-17,305.97989728384704
2020-05-18,306.8389070547236
2020-05-19,307.6562326381481
2020-05-20,308.4347235668801
2020-05-21,309.174557492588
2020-05-22,309.87926613043777
