,Forecast
2020-05-04,170.71489188917073
2020-05-05,170.30640339186536
2020-05-06,169.9019905062414
2020-05-07,169.5369752002043
2020-05-08,169.18719359402982
2020-05-09,168.87558085629823
2020-05-10,168.57398559187456
2020-05-11,168.2897128362583
2020-05-12,168.02006174325558
2020-05-13,167.75752326495055
2020-05-14,167.5060315953269
2020-05-15,167.26626136635238
2020-05-16,167.0334368328258
2020-05-17,166.80741889537236
2020-05-18,166.59077161913407
2020-05-19,166.37881199182627
2020-05-20,166.1732022509777
2020-05-21,165.97317271338122
2020-05-22,165.78086087276276
